Zip,Airport
24620,KJFZ
24622,KJFZ
24605,KBLF
24609,KJFZ
24603,KLNP
24602,KJFZ
73549,KLTS
73548,N/A
73547,KAXS
61560,KC75
73546,KFDR
61561,KC75
73544,KAXS
73543,KLAW
61564,KPIA
73542,KFDR
61565,KC75
73541,KFSI
73540,KLAW
61567,KPIA
61568,KPIA
61569,KPIA
85539,KP08
85535,KSAD
85533,KSAD
85534,KSAD
85532,N/A
85530,KSAD
73559,KLTS
61570,KC75
61571,KPIA
73557,KFSI
97502,KMFR
61572,KPIA
97501,KMFR
97504,KMFR
73554,KAXS
97503,KMFR
73553,KFDR
73552,KLAW
73551,KFDR
73550,KCDS
97539,KMFR
97538,KSXT
36580,KNBJ
73569,K0F2
36582,KBFM
73568,KDUC
97535,KMFR
36583,KMOB
97534,KBOK
36584,KMOB
73566,KLTS
97537,KMFR
36585,KMOB
73565,KSPS
97536,KMFR
24597,KDAN
73564,KHBR
97531,KSXT
97530,KMFR
24599,KFVX
73562,KSPS
97533,KSXT
24598,KHNZ
73560,KAXS
24590,KCHO
24593,KLYH
24592,KDAN
24594,KDAN
85553,KPAN
36587,KMOB
85554,KPAN
85552,KSAD
85550,KSAD
97527,KSXT
36571,KBFM
97524,KMFR
36572,KBFM
97523,KBOK
97526,KSXT
36574,KNBJ
97525,KMFR
97520,KMFR
73573,KDUC
97522,KMFR
73572,KLAW
73571,KAXS
73570,KLTS
85546,KSAD
85544,KPAN
85545,KIWA
36575,KMOB
85542,KSAD
36576,KCQF
85543,KSAD
85540,KSAD
36578,KBFM
85541,KPAN
36579,KBFM
12590,KPOU
36560,KMOB
12594,KPOU
36561,KJKA
36562,KBFM
12592,KPOU
24574,KLYH
24577,KLYH
24579,KLYH
24578,KHSP
24571,KLYH
24572,KLYH
36567,KNBJ
36569,KMOB
36550,KGZH
36551,KCQF
48532,KFNT
24586,KDAN
97541,KMFR
24588,KLYH
97544,KMFR
97543,KSXT
24589,KHNZ
97540,KMFR
24580,KHNZ
36553,KMOB
36555,KCQF
36558,KMEI
12571,KPOU
12572,KPOU
12570,KPOU
36541,KPQL
24553,KLYH
24555,KLYH
24554,KLYH
24557,KDAN
24556,KLYH
24558,KDAN
48529,KFNT
24551,KLYH
24550,KLYH
12575,KSWF
36542,KJKA
36544,KMOB
36545,KGZH
12577,KSWF
36548,KGZH
12578,KPOU
36549,KNPA
12582,KPOU
12583,KPOU
12580,KPOU
12581,KPOU
36530,KNBJ
24563,KLYH
24566,KDAN
24565,KDAN
48519,KFNT
24569,KLYH
36539,KMOB
24562,KFVX
12586,KMGJ
36532,KCQF
12585,KPOU
36535,KNBJ
12589,KSWF
36538,N/A
61501,KMQB
61516,KC75
73505,KFSI
73503,KFSI
73501,KLAW
61520,KPIA
61523,KC75
61525,KPIA
61526,KC75
61517,KPIA
61519,KPIA
61530,KC75
61531,KPIA
61532,KPIA
61533,KPIA
61534,KPIA
61535,KPIA
61536,KPIA
61537,KC75
61528,KPIA
61529,KPIA
73507,KFSI
73528,KLAW
73527,KLAW
73526,KAXS
73523,N/A
61540,KC75
73521,KLTS
61542,KMQB
61543,KPIA
61544,KGBG
61545,KC75
61546,KPIA
61547,KPIA
61548,KC75
73539,KLTS
73538,KFSI
73537,KAXS
61550,KPIA
73533,KDUC
61552,KPIA
73532,KAXS
73531,KSPS
61554,KPIA
73530,KFDR
61559,KPIA
85501,KP08
73529,KDUC
12719,KMSV
24701,KBLF
12726,KMSV
12725,KMSV
12729,KMGJ
12723,KMSV
12720,KMSV
12721,KMGJ
12701,KMSV
61701,KBMI
61704,KBMI
61705,KBMI
48748,KOSC
48747,KHYX
48746,KCFS
48745,KOSC
12791,KMSV
48744,KCFS
48743,N/A
48742,N/A
12790,KMGJ
36761,KPRN
48741,KCFS
95051,KSJC
71082,KDTN
95053,KSJC
48749,KIKW
95054,KSJC
34105,KAPF
34104,KAPF
95050,KSJC
34103,KAPF
34102,KAPF
48740,KOSC
36765,KDYA
36767,KDYA
34109,KAPF
36768,KPRN
34108,KAPF
36769,KDYA
48737,KOSC
48734,KHYX
48733,KCFS
48732,KHYX
48731,KBAX
36750,KEET
48730,KOSC
95045,KCVH
95046,KE16
22124,KIAD
22125,KDAA
95041,N/A
48739,KOSC
48738,KOSC
95043,KCVH
36759,KDYA
36752,KMGM
36754,KDYA
36756,KDYA
36758,KEET
48726,KBAX
48725,KBAX
48724,KHYX
48723,KCFS
48722,KHYX
12770,KMSV
48721,KAPN
48720,KBAX
95073,KWVI
48728,KOSC
95075,KCVH
48727,KCFS
95076,KWVI
10118,KNYC
36748,KDYA
36749,KMXF
95070,KSJC
12779,KMSV
10119,KNYC
36740,KDYA
10112,KNYC
12771,KFWN
36742,KDYA
12777,KMSV
36744,KDYA
12775,KMSV
12776,KMSV
12780,KFWN
48710,N/A
95066,KWVI
22101,KDCA
22102,KDCA
95062,KWVI
95064,KWVI
95065,KWVI
10128,KNYC
36738,KDYA
95060,KWVI
10121,KNYC
12785,KMGJ
12783,KMSV
36732,KDYA
12788,KMSV
12789,KMSV
12786,KMSV
12787,KMSV
36736,KDYA
24737,KBLF
24736,KBLF
48703,KOSC
24739,KBLF
48701,KCFS
48708,KHYX
24733,N/A
48706,KMBS
48705,KOSC
12759,KMSV
36726,KPRN
36727,KDYA
36728,KDYA
12758,KMSV
12751,KMSV
12752,N/A
36720,KDYA
12750,N/A
36722,KDYA
12754,KMSV
24747,KBLF
24740,KBLF
10107,KNYC
12768,KMSV
12762,KMSV
12763,KMSV
12760,KMSV
10103,KNYC
12764,KMSV
10104,KNYC
12765,KMSV
24715,KBLF
24714,N/A
24712,KBLF
12737,KMSV
12738,KMSV
12733,KMSV
12734,KMSV
36701,KMGM
12732,KMSV
